INFO 2025-03-08 01:57:33,084 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 01:57:33,086 autoreload Waiting for apps ready_event.
DEBUG 2025-03-08 01:57:33,100 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-08 01:57:33,126 autoreload Watching dir C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\admin_interface\templates with glob **/*.
DEBUG 2025-03-08 01:57:33,126 autoreload Watching dir C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorfield\templates with glob **/*.
DEBUG 2025-03-08 01:57:33,126 autoreload Watching dir C:\Users\lisai\OneDrive\Escritorio\Dev\Medidor Inteligente\medidor\app\templates with glob **/*.
DEBUG 2025-03-08 01:57:33,127 autoreload Watching dir C:\Users\lisai\OneDrive\Escritorio\Dev\Medidor Inteligente\medidor\locale with glob **/*.mo.
DEBUG 2025-03-08 01:57:33,127 autoreload Watching dir C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\admin_interface\locale with glob **/*.mo.
DEBUG 2025-03-08 01:57:33,127 autoreload Watching dir C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorfield\locale with glob **/*.mo.
DEBUG 2025-03-08 01:57:33,127 autoreload Watching dir C:\Users\lisai\OneDrive\Escritorio\Dev\Medidor Inteligente\medidor\app\locale with glob **/*.mo.
DEBUG 2025-03-08 01:57:33,309 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1738459698.9129975
DEBUG 2025-03-08 01:57:33,310 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,311 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\PIL\__init__.py first seen with mtime 1719199152.2730572
DEBUG 2025-03-08 01:57:33,311 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\bccache.py first seen with mtime 1719199159.9742365
DEBUG 2025-03-08 01:57:33,311 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1738459698.9808884
DEBUG 2025-03-08 01:57:33,311 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,312 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1738459696.6494215
DEBUG 2025-03-08 01:57:33,312 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1738459698.986482
DEBUG 2025-03-08 01:57:33,312 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1738459698.2564824
DEBUG 2025-03-08 01:57:33,312 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1738459698.9573555
DEBUG 2025-03-08 01:57:33,312 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1738459698.949869
DEBUG 2025-03-08 01:57:33,313 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_common.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,313 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1738459699.121234
DEBUG 2025-03-08 01:57:33,313 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,314 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1738459698.907864
DEBUG 2025-03-08 01:57:33,314 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1738459699.0663497
DEBUG 2025-03-08 01:57:33,314 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\_markupbase.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,314 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\werkzeug\test.py first seen with mtime 1739926556.6850355
DEBUG 2025-03-08 01:57:33,314 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,315 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\text_unidecode\__init__.py first seen with mtime 1719196313.0497
DEBUG 2025-03-08 01:57:33,315 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,315 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\email\mime\base.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,315 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1738459698.7408175
DEBUG 2025-03-08 01:57:33,316 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1738459698.574023
DEBUG 2025-03-08 01:57:33,316 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\html\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,316 autoreload File C:\Users\lisai\OneDrive\Escritorio\Dev\Medidor Inteligente\medidor\manage.py first seen with mtime 1737984912.650059
DEBUG 2025-03-08 01:57:33,316 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,316 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1738459697.0092468
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1738459696.6555355
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1738459698.9930458
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\admin_interface\templatetags\__init__.py first seen with mtime 1732853016.390591
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1738459697.3027036
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\click\globals.py first seen with mtime 1719199173.8339624
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1738459698.9955497
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1738459698.907864
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\utils.py first seen with mtime 1738459699.0195272
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1738459699.1058223
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\__init__.py first seen with mtime 1738459699.064339
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1738459696.6509244
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1738459699.122847
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\ipaddress.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1717718102.0
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1738459699.0773335
